provided_id,year,total_revenue
N22,2024,10596.596839847771
N50,2024,9886.71070233389
N20,2024,9000.23270556247
N51,2024,7447.9208788023361
N49,2024,6840.85007350259
N38,2024,6310.9372262304159
N67,2024,5874.9739798828841
N42,2024,4622.2293785790425
N80,2024,4012.1985364257771
N32,2024,3581.3556474836528
N17,2024,3538.553887287424
N41,2024,3494.7405464168373
N86,2024,3179.8314200929844
N105,2024,2720.1710960791943
N11,2024,2295.2157337567669
N65,2024,2286.0098173768752
N83,2024,2176.9503542922771
N44,2024,2166.2677010526186
N62,2024,1955.8728373853296
N39,2024,1821.4038503337583
N79,2024,1585.7979879764566
N71,2023,1475.4564982023994
N40,2024,1474.2343466271971
N43,2024,1362.2769927036604
N111,2024,1152.63720577384
N106,2024,1118.8110931038516
N113,2024,1055.4100527932064
N29,2024,951.79862380407212
N73,2023,947.15852884127889
N114,2024,906.64556870071885
N21,2024,887.77496617930547
N66,2024,869.9307147586818
N101,2024,831.59473366538168
N115,2024,769.48570931476229
N104,2024,702.446614473668
N45,2024,688.66306450223362
N76,2023,623.98246949819691
N116,2024,618.06468578420242
N74,2023,614.46976148553586
N10,2024,520.933819498479
N110,2024,383.08460851014962
N54,2024,342.15380603821308
N9,2024,312.27820637582317
N102,2024,295.38247103673763
N53,2024,272.64974327698457
N70,2023,230.02400305119397
N75,2023,224.3548905530881
N82,2024,222.40065346462458
N81,2024,214.36594196974022
N30,2024,184.9942434904346
N12,2024,100.28929419254057
N64,2024,50.862426945766359
N8,2022,43.977178981621705
N108,2024,33.382025152980646
N107,2024,29.545202656841617
N77,2023,23.191771047918007
N112,2024,4.7571495312391345
N52,2024,0.36344949520756742
